DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	REGION	COUNTRY_CODE	CURRENT_POSITION
2021-12-02	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	NZ	49
2022-01-27	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	NZ	148
2022-01-18	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	NZ	23
2021-12-23	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	55
2021-03-18	GHOST TOWN	Pop	Spotify	OTHER	PW	190
2022-03-03	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	NO	38
2022-02-24	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	17
2022-02-14	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	30
2021-11-23	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	NZ	5
2022-01-09	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	74
2022-01-27	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	96
2021-12-06	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	59
2022-01-08	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	79
2021-12-09	GHOST TOWN	Pop	Spotify	OTHER	PW	190
2021-11-26	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	64
2022-02-23	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	17
2021-03-11	GHOST TOWN	Pop	Spotify	OTHER	PW	190
2021-11-25	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	RO	26
2022-02-09	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	34
2021-11-25	GHOST TOWN	Pop	Spotify	LATIN AMERICA	CO	44
2022-02-07	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	DK	6
2022-03-01	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	DK	2
2021-12-01	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	DK	20
2021-10-26	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	DK	56
2021-11-18	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	ES	12
2021-11-11	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	DK	49
2021-11-25	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	KR	110
2021-01-07	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	KR	85
2021-04-22	GHOST TOWN	Pop	Spotify	ASIA PACIFIC	KR	122
2021-12-20	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	KR	63
2022-02-19	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	KR	142
2021-11-18	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	LU	80
2022-02-17	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	MC	136
