DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_KEY	DAYS_ON_CHART	COUNTRY_CODE
2022-01-04	GHOST TOWN	Pop	Apple Music	543		SE
2021-11-17	GHOST TOWN	Pop	Apple Music	682		MR
2021-11-17	GHOST TOWN	Pop	Apple Music	713		GY
2022-01-31	GHOST TOWN	Pop	Apple Music	685		MM
2022-02-19	GHOST TOWN	Pop	Apple Music	640		TN
2022-02-16	GHOST TOWN	Pop	Apple Music	532		MT
2021-11-01	GHOST TOWN	Pop	Apple Music	711		HR
2021-12-13	GHOST TOWN	Pop	Apple Music	530		DK
2022-02-17	GHOST TOWN	Pop	Apple Music	586		NG
2022-01-31	GHOST TOWN	Pop	Apple Music	587		IE
2022-02-10	GHOST TOWN	Pop	Apple Music	529		BM
2022-02-10	GHOST TOWN	Pop	Apple Music	677		NA
2021-10-25	GHOST TOWN	Pop	Apple Music	580		RO
2022-01-25	GHOST TOWN	Pop	Apple Music	538		ZA
2022-01-29	GHOST TOWN	Pop	Apple Music	530		DK
2022-02-08	GHOST TOWN	Pop	Apple Music	557		MU
2022-02-01	GHOST TOWN	Pop	Apple Music	562		BY
2022-02-01	GHOST TOWN	Pop	Apple Music	738		CI
2021-12-07	GHOST TOWN	Pop	Apple Music	527		UG
2022-02-19	GHOST TOWN	Pop	Apple Music	523		SI
2021-10-30	GHOST TOWN	Pop	Apple Music	528		NO
2021-10-30	GHOST TOWN	Pop	Apple Music	566		LV
2021-11-28	GHOST TOWN	Pop	Apple Music	558		US
2021-11-28	GHOST TOWN	Pop	Apple Music	705		IS
2022-01-14	GHOST TOWN	Pop	Apple Music	689		MG
2022-02-04	GHOST TOWN	Pop	Apple Music	529		BM
2022-02-19	GHOST TOWN	Pop	Apple Music	617		JO
2022-02-19	GHOST TOWN	Pop	Apple Music	703		JM
2022-01-31	GHOST TOWN	Pop	Apple Music	595		GD
2021-12-31	GHOST TOWN	Pop	Apple Music	549		NZ
2021-12-13	GHOST TOWN	Pop	Apple Music	572		AG
2022-02-22	GHOST TOWN	Pop	Apple Music	549		NZ
2021-10-25	GHOST TOWN	Pop	Apple Music	624		CY
2021-12-26	GHOST TOWN	Pop	Apple Music	523		SI
2021-11-28	GHOST TOWN	Pop	Apple Music	592		ZW
2022-01-01	GHOST TOWN	Pop	Apple Music	589		IT
2021-11-13	GHOST TOWN	Pop	Apple Music	596		NL
2021-12-30	GHOST TOWN	Pop	Apple Music	696		LR
